id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
0G3ImRQDWtOTwTK1oL5uWF,0.887,0.847,0.5833333333333334,0.18141666666666667,1.0,0.253,0.115,8.24e-05,0.216,0.739
4dI2tnLrhe8u4jWjoLC5NK,0.77,0.656,0.8333333333333334,0.18615,0.0,0.246,0.11,0.0,0.0793,0.788
3Ti0GdlrotgwsAVBBugv0I,0.848,0.666,0.0,0.10911666666666667,1.0,0.274,0.173,0.000699,0.129,0.744
20XdEFyaUR9C7aDIdq2OAd,0.677,0.54,0.5833333333333334,0.24065,1.0,0.0627,0.0455,1.84e-06,0.845,0.469
5t7VSlim3ULPj2uIDWVi7e,0.699,0.692,0.16666666666666666,0.13803333333333334,1.0,0.426,0.105,0.0,0.096,0.909
1MQCTOWVfy4PcuBXkBsHVB,0.862,0.663,0.0,0.15006666666666665,1.0,0.21,0.12,0.0,0.318,0.837
5yVr4kj611qKFuvI12SItT,0.779,0.641,0.16666666666666666,0.18713333333333332,1.0,0.158,0.134,8.19e-06,0.0831,0.885
1pOIpxfrQ8AszXZdKR3aH3,0.894,0.698,0.5,0.13773333333333332,0.0,0.275,0.0279,3.56e-06,0.329,0.695
6jdEMl5p7KD9yBfqNm0ACH,0.867,0.597,0.5833333333333334,0.14293333333333333,1.0,0.254,0.00633,0.0,0.279,0.393
6lqKYoYGYprzbFXT95tDTt,0.797,0.5,0.8333333333333334,0.27215,0.0,0.167,0.175,0.0227,0.109,0.327
3JdyhQORbJkCWT8xfLd8gD,0.837,0.692,0.5833333333333334,0.07085000000000001,1.0,0.337,0.0383,0.0,0.212,0.805
2tFAP5PycKceC26ZnIqnBt,0.858,0.609,0.08333333333333333,0.17825,1.0,0.113,0.0542,9.04e-05,0.315,0.478
4G3dZN9o3o2X4VKwt4CLts,0.759,0.756,0.3333333333333333,0.13574999999999998,0.0,0.266,0.0903,2.36e-06,0.265,0.613
26q6YTrXt9l8qshIveiTX9,0.884,0.334,0.08333333333333333,0.3157166666666667,0.0,0.228,0.0476,0.0588,0.107,0.571
42kFZZo0w4UeAJVt5N9yTw,0.781,0.872,0.5,0.18163333333333334,1.0,0.342,0.195,0.0,0.35,0.816
3HCzj965m8Fz2E8wZkir6q,0.755,0.459,0.4166666666666667,0.214,0.0,0.358,0.115,0.0,0.0851,0.597
6bVUwujYeG4u9IBm4Vugfs,0.899,0.787,0.16666666666666666,0.12786666666666666,1.0,0.106,0.0943,0.00194,0.0509,0.624
3zCg6CUmhxHukbUs0nd7ar,0.801,0.529,0.08333333333333333,0.24791666666666667,1.0,0.0962,0.0406,0.000609,0.0936,0.721
6LWpZmVDONqAqqf7fl8Lul,0.727,0.489,0.08333333333333333,0.133,1.0,0.302,0.105,0.0,0.0666,0.227
6TAyUBWqz8XYzi6MiRqRra,0.7,0.666,0.9166666666666666,0.21415,0.0,0.517,0.232,0.0,0.297,0.733
2hluGQtmPypU3tsQudCQ3U,0.965,0.449,0.0,0.25375,1.0,0.237,0.0502,1.17e-06,0.267,0.722
0N8zvlUMfAy3Au9eqeT4wS,0.811,0.487,0.5833333333333334,0.21686666666666668,1.0,0.309,0.0106,0.0,0.239,0.649
1IIKrJVP1C9N7iPtG6eOsK,0.755,0.578,0.0,0.14886666666666667,0.0,0.145,0.316,0.0,0.25,0.581
066sCXoiZWG6xMsoLj1eSi,0.804,0.862,0.4166666666666667,0.0832,1.0,0.182,0.189,1.17e-06,0.174,0.721
4XWi6uj1ZYo5bA7aGxc0g8,0.743,0.604,0.6666666666666666,0.1448,0.0,0.0674,0.415,0.0,0.27,0.602
5bS6VIBCYdi9QL9T1upn3G,0.668,0.684,0.5833333333333334,0.14628333333333332,0.0,0.0516,0.00825,0.126,0.134,0.205
4HVHkQvGnpQ514WPHPE67Q,0.579,0.662,0.08333333333333333,0.09573333333333332,0.0,0.182,0.00967,0.0,0.13,0.234
5kyucNkIK5c4gSOyRL9WIR,0.85,0.622,0.4166666666666667,0.07508333333333334,0.0,0.175,0.394,0.0,0.124,0.61
63dg6LdBGxa0QA93M2snLA,0.643,0.608,0.4166666666666667,0.14076666666666665,0.0,0.152,0.0984,0.000101,0.247,0.564
